CQI,RSRP,SINR,TP,Scenario,Faults,Severities
10,-109.39878875594803,20.151082090561598,10.429745743994424,UMa,Normal,
12,-95.69072105784736,8.240534509667201,10.542849270703302,UMa,Normal,
12,-94.1432109221872,12.680529239808866,8.254041737872486,UMa,Normal,
13,-99.50814049524234,21.592318583404023,12.212509931486927,UMa,Normal,
11,-93.16248836507987,19.910258411276978,7.33736255654538,UMa,Normal,
9,-109.98793458977288,14.554551476491879,8.63011761703562,UMa,Normal,
12,-109.25859360796083,16.223093028345495,9.437872319618762,UMa,Normal,
12,-87.59743077377944,12.637914139836257,10.05882162720654,UMa,Normal,
11,-97.86359410414373,11.461453313114239,7.907402313253475,UMa,Normal,
12,-104.12317438808581,14.635582461130253,6.402269106211444,UMa,Normal,
11,-94.55372396615404,13.49513599673778,10.844113307021265,UMa,Normal,
11,-89.08939505621774,15.844870988770248,8.330510767171885,UMa,Normal,
11,-101.29107880983385,9.320150240494012,10.61656639323821,UMa,Normal,
7,-92.49535120327025,22.79323056231134,6.950876534281883,UMa,Normal,
8,-105.95979423291581,23.803184007073135,9.859798813935374,UMa,Normal,
7,-108.03009482072818,17.076080795798024,10.246855158418452,UMa,Normal,
12,-94.37059603326834,15.362351667037233,5.129193229059094,UMa,Normal,
10,-94.18372869192986,13.011623042711822,8.73709345677572,UMa,Normal,
11,-92.18722060196019,18.567044817456722,6.687854714357201,UMa,Normal,
13,-90.19172789883758,16.923513243293762,5.428539954253142,UMa,Normal,
10,-79.20195177045959,11.06593320371403,16.97505836608679,UMa,Normal,
10,-94.67303768259596,20.38414329986834,8.61905105439059,UMa,Normal,
12,-98.67557886583137,18.699433464719096,12.633202724636039,UMa,Normal,
9,-88.4036069360207,21.568593590620683,8.023117490103298,UMa,Normal,
8,-99.8823830146552,17.39919231896177,11.416863949720852,UMa,Normal,
10,-96.22862037540042,16.15271601685665,12.122100575417011,UMa,Normal,
9,-106.32425079507368,14.174587007758783,10.727566712502421,UMa,Normal,
14,-110.63198170029185,20.983348933747415,9.787784309566943,UMa,Normal,
13,-80.74173979207907,19.43070475382849,9.333509241281455,UMa,Normal,
12,-87.1754408858263,8.230997178079278,8.837131960737844,UMa,Normal,
13,-90.89714666955203,7.257102203884055,14.417551897501147,UMa,Normal,
13,-96.84191373864064,13.741099810103767,12.8707112667239,UMa,Normal,
9,-102.52981447349666,18.518937878625273,15.437360210913706,UMa,Normal,
13,-103.07367742553625,23.927690582568644,6.544181284139491,UMa,Normal,
11,-100.38980462674022,10.862470314311818,11.847365576858927,UMa,Normal,
13,-94.0103379504062,15.952563357720749,14.623623951085733,UMa,Normal,
13,-90.46510648561913,13.787653456576265,7.271968917588945,UMa,Normal,
10,-91.69598506959161,22.51328010423738,5.502074214107688,UMa,Normal,
9,-99.66430310872698,19.01181521784166,11.941442193691522,UMa,Normal,
9,-81.44817495489188,18.949472153965978,10.564719606637782,UMa,Normal,
11,-89.90499875088139,14.685834361660538,13.006850330864308,UMa,Normal,
13,-93.90664254193658,14.139496241239696,6.760948075086051,UMa,Normal,
13,-92.72954627036583,12.590318091372287,12.475432798179911,UMa,Normal,
6,-96.62333376171455,8.658970856063856,7.4961828383189415,UMa,Normal,
11,-100.45317863677529,19.405952789127262,7.065728523379584,UMa,Normal,
11,-97.95395741386234,18.55372631460554,7.073115472511101,UMa,Normal,
9,-89.40487287326287,28.495191046589934,12.685536811377375,UMa,Normal,
9,-112.49113164992828,25.806149747272574,11.281251542240456,UMa,Normal,
10,-104.55880735450614,15.557488019623815,10.175087505416457,UMa,Normal,
14,-108.47930703245692,17.941439827041144,8.917448339445514,UMa,Normal,
10,-108.93832488787265,21.38154587226148,13.484094664183779,UMa,Normal,
11,-86.51884340844262,19.13863010665061,9.183178873892558,UMa,Normal,
12,-90.72039825030217,12.269131197768813,12.708333933576911,UMa,Normal,
10,-95.5182551429039,14.502941531877353,9.54234219995481,UMa,Normal,
14,-105.35193280475936,10.479750906229159,9.061564070199914,UMa,Normal,
14,-95.16813945015502,21.738550048642622,9.720686932093477,UMa,Normal,
10,-95.53236392212229,16.07725484503246,8.441255307835734,UMa,Normal,
11,-102.53270205219283,12.027338619758163,12.001974543432802,UMa,Normal,
10,-96.33261186475093,16.778120485236578,10.022061683817057,UMa,Normal,
10,-97.05775457220517,16.20205506534421,7.808498190600125,UMa,Normal,
7,-92.64320357580952,13.546772185780002,13.838128041025005,UMa,Normal,
11,-92.23700243447874,10.170126915420694,9.11624584894533,UMa,Normal,
11,-108.53759270285576,16.776709829673948,10.329647388054996,UMa,Normal,
8,-97.55728902812118,15.20366739080086,13.958737881477074,UMa,Normal,
10,-92.43273660323997,17.98537673645716,10.951166227070544,UMa,Normal,
13,-94.93710787311922,15.202219963625812,6.43387065006625,UMa,Normal,
10,-86.48255211813427,19.182263122735506,14.660746429062383,UMa,Normal,
9,-91.72879659401535,15.52182897112896,10.978634177581483,UMa,Normal,
11,-102.85975188622095,15.613281626309291,8.723128458212207,UMa,Normal,
15,-106.77254626590121,19.632372792748626,6.754204062167305,UMa,Normal,
10,-92.08053624898811,14.02280714893583,12.462333272507758,UMa,Normal,
12,-110.47789310398532,10.570759742040755,10.91830017016766,UMa,Normal,
12,-93.26646866247232,7.409090596189975,10.253429941275217,UMa,Normal,
10,-82.54632552052131,17.762407792842918,13.743240528780577,UMa,Normal,
12,-93.47737120285593,16.22495197083903,12.40563070614661,UMa,Normal,
10,-97.27273625767124,17.144265717301963,6.916815565601313,UMa,Normal,
12,-92.06190364343152,11.815984882743413,8.5295796876583,UMa,Normal,
12,-95.83868963500944,10.614105462468517,7.965297188239243,UMa,Normal,
11,-94.08324280606558,6.280192114886205,11.967703628751888,UMa,Normal,
8,-82.46248326563963,13.465346493188996,4.5228751591305425,UMa,Normal,
13,-97.31593207842585,15.909169368458684,10.52968944071977,UMa,Normal,
10,-80.88262235716122,13.906298244512643,12.143690577533654,UMa,Normal,
9,-84.49874786643696,14.370614925283755,13.477686094653123,UMa,Normal,
7,-101.85401148615621,20.220790655561242,8.781940675439127,UMa,Normal,
11,-106.84451775655864,13.440151756391675,12.761382405400877,UMa,Normal,
12,-105.21704796606156,15.140269736023635,6.336529615461956,UMa,Normal,
7,-111.73554066712832,18.137675996502733,13.064841840215815,UMa,Normal,
11,-105.51105587363172,13.950965997774547,6.590347076763473,UMa,Normal,
9,-91.19101264140463,16.24363612880336,9.220886733806061,UMa,Normal,
12,-106.73596346316911,19.36283790643187,12.496922898131146,UMa,Normal,
9,-98.76452162869545,21.557835394659943,6.894328097105209,UMa,Normal,
12,-86.88240879036178,10.804813933845296,7.779328487423658,UMa,Normal,
10,-110.92341932496743,20.801189359530255,11.769705242787253,UMa,Normal,
14,-87.84412871982306,14.920962744587433,11.749920851078059,UMa,Normal,
9,-99.61872292900921,12.405459696536795,11.085820289856382,UMa,Normal,
10,-104.47368583362612,14.589627829574454,11.522344135455313,UMa,Normal,
9,-90.87968687446474,23.210678819685608,10.323383462633473,UMa,Normal,
14,-92.36756200656046,14.925994089220657,7.996500837030791,UMa,Normal,
13,-85.70046403330498,13.226883128702559,8.811383599966796,UMa,Normal,
10,-89.97421657448716,16.36324611342546,7.276110722376453,UMa,Normal,
12,-88.16703474095942,12.177254140607774,13.99453857529501,UMa,Normal,
13,-99.61446422456814,9.268263448978399,10.633109036460946,UMa,Normal,
11,-102.40133535184282,10.474437328637059,9.248563126198501,UMa,Normal,
11,-89.58859555810197,10.458547722563138,9.71559843010787,UMa,Normal,
10,-88.06967084586893,10.887818621323266,14.857825329925824,UMa,Normal,
8,-76.23413770224477,10.658739244797781,6.9381072301470565,UMa,Normal,
13,-96.76653160204454,16.442925149170772,10.654938903557536,UMa,Normal,
13,-97.61210487905907,11.367958029066925,10.045878217517922,UMa,Normal,
12,-88.9189224760913,13.41211764581506,10.850638841159537,UMa,Normal,
10,-98.28216889314564,20.05228570196498,3.7447900208602816,UMa,Normal,
10,-83.14835943077723,14.738786672165467,13.410252595224975,UMa,Normal,
12,-86.41427704432195,16.732390858751916,14.475930892772759,UMa,Normal,
13,-96.43148697955215,11.220758019065672,10.493412656462603,UMa,Normal,
13,-89.58213261026658,11.52282781599548,11.545493636182771,UMa,Normal,
12,-89.4891565876213,8.040924574744237,14.26694596655766,UMa,Normal,
12,-105.11160524524917,11.167400696889448,11.637102902363297,UMa,Normal,
8,-84.63011191686645,12.65232921301666,6.927809668950422,UMa,Normal,
9,-94.89467099113824,11.293607278119444,10.578614199963514,UMa,Normal,
13,-87.47793335175353,9.60665839425086,10.813618691321231,UMa,Normal,
11,-98.74048081389255,10.314080191650074,9.427880354770355,UMa,Normal,
6,-84.94841500965816,14.606182036791658,11.898303037220176,UMa,Normal,
8,-97.25120271390787,11.723894021551708,14.528046640287627,UMa,Normal,
12,-113.36808080516174,13.611980868997996,14.331358834560186,UMa,Normal,
6,-84.49726051208252,15.034257670840688,9.63116249135774,UMa,Normal,
9,-105.66298716919744,16.98749729226225,6.377479697864384,UMa,Normal,
11,-98.75695168529771,7.968933135261936,16.498258855794234,UMa,Normal,
12,-81.83636196740676,18.357313287241006,12.970666241764597,UMa,Normal,
12,-81.79384619387844,16.30495114060221,6.549509288739731,UMa,Normal,
9,-93.51893094859389,9.428610949010729,14.232962421049557,UMa,Normal,
12,-92.30621443020996,19.5726139013733,13.37849538202711,UMa,Normal,
10,-96.03671768453741,20.641837980389464,10.143266918449962,UMa,Normal,
10,-99.35223168482143,8.819419314139816,10.693835712079746,UMa,Normal,
12,-98.54883003052957,12.631902151219643,9.234215508688525,UMa,Normal,
12,-91.42497531702476,18.455142002563996,5.209924355397231,UMa,Normal,
13,-89.54415169562444,17.675542623400204,8.725527932483649,UMa,Normal,
12,-88.50470099223385,11.407760384608988,12.556487389458312,UMa,Normal,
