Timestamp,UE_ID,CQI,RSRP,SINR,Throughput,Fault_Label,Severity_Label
29-Apr-2025 09:21:44,48,11,-102.875922912233,13.4825625486225,66.6986049099497,Normal,Normal
29-Apr-2025 10:56:05,195,2,-113.640863414701,6.77053180132382,40.5233439729259,Normal,Normal
29-Apr-2025 10:38:51,267,3,-102.874438468135,11.5615806104858,9.49419576937464,Normal,Normal
29-Apr-2025 10:40:45,274,12,-104.369622994938,15.326462428589,68.4805514469474,Normal,Normal
29-Apr-2025 09:47:34,115,15,-105.87999238485,4.42441339530381,24.4289371777486,Normal,Normal
29-Apr-2025 09:32:36,108,12,-110.636883122925,14.6134021096472,21.7501409369922,Normal,Normal
29-Apr-2025 10:25:40,132,4,-100.856360726419,17.5045236964702,58.8927098108247,ANT+DPD,slight+severe
29-Apr-2025 10:52:45,202,1,-113.007742576374,2.50477007968368,42.9899485055351,Normal,Normal
29-Apr-2025 10:39:55,165,10,-100.089731846392,3.57866443689354,59.0437518188576,Normal,Normal
29-Apr-2025 10:30:28,288,11,-110.036080919911,2.91655085966432,60.073791389121,Normal,Normal
29-Apr-2025 10:01:52,29,6,-108.609360818968,3.48501172724845,37.3595309837143,Normal,Normal
29-Apr-2025 09:41:15,70,9,-116.275706977301,-2.9763286423208,7.1940960233844,Normal,Normal
29-Apr-2025 10:04:59,70,13,-115.15915067087,6.66419772869549,74.6131109595737,Normal,Normal
29-Apr-2025 09:49:18,265,4,-116.628969146629,9.7274860456473,69.2832707079411,Normal,Normal
29-Apr-2025 10:42:47,218,8,-114.647274520723,1.03075572677433,39.2904180243279,Normal,Normal
29-Apr-2025 10:28:24,200,12,-112.770329415089,18.0807704282127,36.4583014249331,Normal,Normal
29-Apr-2025 10:26:22,103,10,-108.857674227611,0.294613015278907,21.815237263716,Normal,Normal
29-Apr-2025 10:38:30,135,10,-103.832245699749,6.35668939083438,30.0752438103819,PA+ED+HW,severe+slight+medium
29-Apr-2025 09:17:18,78,12,-113.760465093385,18.550584003555,34.1584266993711,Normal,Normal
29-Apr-2025 10:36:32,282,7,-112.542761693709,13.0393942884932,62.2770906043933,Normal,Normal
29-Apr-2025 10:31:38,265,2,-104.528346941271,13.0120421118541,39.2341308728211,Normal,Normal
29-Apr-2025 10:14:18,81,3,-102.070955408452,11.072050336508,11.3243126600922,Normal,Normal
29-Apr-2025 10:53:01,112,2,-117.645176800915,15.9552812232884,50.4397828248929,DPD,slight
29-Apr-2025 09:35:01,42,3,-117.942067287743,4.74576768128635,57.9978488286315,Normal,Normal
29-Apr-2025 11:07:07,241,3,-110.083301039138,18.1911360959126,58.8355209345554,Normal,Normal
